length_char,length_word,num_uppercase,uppercase_ratio,num_exclamation,num_question,num_special_chars,num_digits,num_links,repeat_word_ratio,duplicate_char_ratio,contains_promo_words,contains_brand,contains_call_action,rating,time_comment,is_night,num_repeated_phrases,if_score,rule_score,final_score,label
31,7,1,0.032258064516129,0,0,0,0,0,0.0,0.0,0,0,0,5,19.23,0,0,0.33663744771120324,0.0,0.03506476101156613,0
134,32,1,0.0074626865671641,0,0,0,1,0,0.09375,0.0,0,0,0,1,17.47,0,0,0.435083392344914,0.0,0.25036073235101813,0
86,18,1,0.0116279069767441,0,0,3,0,0,0.0555555555555555,0.0,0,0,0,5,23.47,1,0,0.40026444344156453,0.0,0.17421356902136287,0
7,2,1,0.1428571428571428,0,0,0,0,0,0.0,0.0,0,0,0,5,17.41,0,0,0.3769320917776918,0.0,0.12318697433737008,0
20,4,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,1,15.46,0,0,0.44440829480835115,0.0,0.27075379111012804,0
3,1,1,0.3333333333333333,0,0,0,0,0,0.0,0.0,0,0,0,5,12.58,0,0,0.4139293087370529,0.8,0.2277665314762693,0
94,18,1,0.0106382978723404,0,0,6,10,1,0.0555555555555555,0.0851063829787234,1,0,1,5,6.56,0,0,0.5374515481856454,19.45,1.0496781550422964,1
108,25,14,0.1296296296296296,0,0,2,0,0,0.08,0.0,1,0,1,5,19.23,0,0,0.46399379741352986,2.55,0.3890300159672162,0
79,16,0,0.0,0,0,2,10,0,0.0,0.1012658227848101,0,0,1,5,23.01,1,0,0.5358568484183782,12.849999999999998,0.8509243604703235,1
79,16,0,0.0,0,0,2,10,0,0.0,0.1012658227848101,0,0,1,5,16.28,0,0,0.4517915576273851,12.399999999999999,0.6537644940125851,0
88,18,24,0.2727272727272727,0,0,3,2,1,0.0,0.034090909090909,1,0,0,4,16.5,0,0,0.5520448558067198,8.95,0.7709420441615178,1
85,16,0,0.0,3,0,5,10,0,0.0,0.1294117647058823,1,0,1,5,12.32,0,0,0.5238732720885881,10.95,0.7685039076066909,1
63,12,7,0.1111111111111111,0,0,7,3,1,0.0,0.0,1,0,0,5,4.48,1,0,0.5497131956909317,7.799999999999999,0.731819160604777,0
94,18,1,0.0106382978723404,0,0,6,10,1,0.0555555555555555,0.0851063829787234,1,0,1,4,18.25,0,0,0.5526019393609664,19.45,1.0828112434229267,1
123,25,7,0.056910569105691,7,0,12,5,0,0.12,0.056910569105691,1,0,0,4,11.47,0,1,0.5771408349045531,0.9500000000000001,0.5891392063917192,0
54,11,36,0.6666666666666666,3,0,5,2,0,0.0,0.0555555555555555,1,0,1,5,19.5,0,0,0.5873542452417336,5.049999999999999,0.7327771590979333,0
70,14,2,0.0285714285714285,1,0,3,11,0,0.0,0.1142857142857142,0,0,1,5,14.23,0,0,0.4680560126255964,12.399999999999999,0.6893339798880613,0
88,16,22,0.25,0,0,4,12,1,0.0625,0.0681818181818181,1,0,0,5,9.4,0,0,0.5547208454438871,18.35,1.0549007980471647,1
86,18,0,0.0,0,0,2,10,0,0.0,0.0930232558139534,0,0,1,5,11.51,0,0,0.4485996549082569,9.2,0.5521094187046199,0
82,16,14,0.1707317073170731,0,0,6,2,1,0.0625,0.0,1,0,1,5,6.23,0,0,0.5148027096906782,10.45,0.7338741774450515,0
55,11,37,0.6727272727272727,3,0,5,2,0,0.0909090909090909,0.0545454545454545,1,0,1,5,18.38,0,0,0.5919576836392337,5.049999999999999,0.7428446305918452,1
